kWp,battery,NPV,peak_ratio,filtered,best_battery
19.2,BAT-32,593436170.5908391,1.9741255945073375,ok,True
19.2,BAT-31,593419711.2089556,1.9741255945073375,ok,False
19.2,BAT-27,593419327.6189483,1.9741255945073375,ok,False
19.2,BAT-28,593419327.6189483,1.9741255945073375,ok,False
19.2,BAT-26,593418874.3514159,1.9741255945073375,ok,False
19.2,BAT-29,593417395.16777,1.9741255945073375,ok,False
19.2,BAT-30,593417199.358454,1.9741255945073375,ok,False
19.2,BAT-21,593410258.9344546,1.9741255945073375,ok,False
19.2,BAT-22,593410258.9344546,1.9741255945073375,ok,False
19.2,BAT-23,593409684.803805,1.9741255945073375,ok,False
19.2,BAT-20,593409570.3398737,1.9741255945073375,ok,False
19.2,BAT-24,593409474.7948916,1.9741255945073375,ok,False
19.2,BAT-25,593409474.7948916,1.9741255945073375,ok,False
19.2,BAT-15,584254680.5453638,1.9741255945073375,ok,False
19.2,BAT-10,548563172.648883,1.9741255945073375,ok,False
