scan_order,candidate_key,kWp,battery,NPV_COP,payback_years,capex_client,self_consumption_ratio,self_sufficiency_ratio,annual_import_kwh,annual_export_kwh,peak_ratio,best_battery_for_kwp
180,10.200::BAT-26,10.2,BAT-26,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
181,10.200::BAT-27,10.2,BAT-27,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
182,10.200::BAT-28,10.2,BAT-28,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
183,10.200::BAT-29,10.2,BAT-29,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
184,10.200::BAT-30,10.2,BAT-30,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
185,10.200::BAT-31,10.2,BAT-31,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
186,10.200::BAT-32,10.2,BAT-32,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
170,10.200::None,10.2,None,339996632.8891923,3.8333333333333335,53040000.0,0.6321418423844,0.6321418423844001,9019.88202473451,880.1844247345077,1.0487542220820234,False
188,10.800::BAT-5,10.8,BAT-5,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,True
189,10.800::BAT-10,10.8,BAT-10,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
190,10.800::BAT-15,10.8,BAT-15,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
191,10.800::BAT-20,10.8,BAT-20,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
192,10.800::BAT-21,10.8,BAT-21,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
193,10.800::BAT-22,10.8,BAT-22,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
194,10.800::BAT-23,10.8,BAT-23,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
195,10.800::BAT-24,10.8,BAT-24,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
196,10.800::BAT-25,10.8,BAT-25,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
197,10.800::BAT-26,10.8,BAT-26,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
198,10.800::BAT-27,10.8,BAT-27,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
199,10.800::BAT-28,10.8,BAT-28,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
200,10.800::BAT-29,10.8,BAT-29,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
