kWp,battery,NPV,peak_ratio,filtered,best_battery
12.6,BAT-15,376386357.42691946,1.295519918112542,ok,False
12.6,BAT-20,376388408.06124884,1.295519918112542,ok,True
12.6,BAT-21,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-22,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-23,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-24,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-25,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-26,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-27,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-28,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-29,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-30,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-31,376388408.06124884,1.295519918112542,ok,False
12.6,BAT-32,376388408.06124884,1.295519918112542,ok,False
13.2,None,382838795.737145,1.3572113427845678,ok,False
13.2,BAT-5,403010343.28181607,1.3572113427845678,ok,False
13.2,BAT-10,407089586.7439728,1.3572113427845678,ok,False
13.2,BAT-15,407879964.42871207,1.3572113427845678,ok,False
13.2,BAT-20,407889959.1984975,1.3572113427845678,ok,True
13.2,BAT-21,407889959.1984975,1.3572113427845678,ok,False
13.2,BAT-22,407889959.1984975,1.3572113427845678,ok,False
13.2,BAT-23,407889959.1984975,1.3572113427845678,ok,False
13.2,BAT-24,407889959.1984975,1.3572113427845678,ok,False
13.2,BAT-25,407889959.1984975,1.3572113427845678,ok,False
13.2,BAT-26,407889959.1984975,1.3572113427845678,ok,False
13.2,BAT-27,407887168.80417866,1.3572113427845678,ok,False
13.2,BAT-28,407887027.243954,1.3572113427845678,ok,False
13.2,BAT-29,407887027.243954,1.3572113427845678,ok,False
13.2,BAT-30,407887027.243954,1.3572113427845678,ok,False
13.2,BAT-31,407887027.243954,1.3572113427845678,ok,False
13.2,BAT-32,407887027.243954,1.3572113427845678,ok,False
14.4,None,404928003.73676044,1.4805941921286192,ok,False
14.4,BAT-5,429019404.4509111,1.4805941921286192,ok,False
14.4,BAT-10,438283348.0744969,1.4805941921286192,ok,False
14.4,BAT-15,441874450.6864946,1.4805941921286192,ok,False
14.4,BAT-20,442041596.75665486,1.4805941921286192,ok,True
14.4,BAT-21,442041596.75665486,1.4805941921286192,ok,False
14.4,BAT-22,442041596.75665486,1.4805941921286192,ok,False
14.4,BAT-23,442041596.75665486,1.4805941921286192,ok,False
14.4,BAT-24,442032681.2986671,1.4805941921286192,ok,False
14.4,BAT-25,442032681.2986671,1.4805941921286192,ok,False
14.4,BAT-26,442032681.2986671,1.4805941921286192,ok,False
14.4,BAT-27,442032681.2986671,1.4805941921286192,ok,False
14.4,BAT-28,442030076.66403496,1.4805941921286192,ok,False
14.4,BAT-29,442021913.23839974,1.4805941921286192,ok,False
14.4,BAT-30,442021913.23839974,1.4805941921286192,ok,False
14.4,BAT-31,442021913.23839974,1.4805941921286192,ok,False
14.4,BAT-32,442021913.23839974,1.4805941921286192,ok,False
15.0,None,414764009.1068377,1.5422856168006451,ok,False
15.0,BAT-5,439578692.6759083,1.5422856168006451,ok,False
15.0,BAT-10,452185195.64213824,1.5422856168006451,ok,False
15.0,BAT-15,457747155.38107085,1.5422856168006451,ok,False
15.0,BAT-20,458144240.94288766,1.5422856168006451,ok,True
15.0,BAT-21,458144240.94288766,1.5422856168006451,ok,False
15.0,BAT-22,458144240.94288766,1.5422856168006451,ok,False
15.0,BAT-23,458140976.6625818,1.5422856168006451,ok,False
15.0,BAT-24,458139467.37886035,1.5422856168006451,ok,False
15.0,BAT-25,458137138.1153729,1.5422856168006451,ok,False
15.0,BAT-26,458131466.65639114,1.5422856168006451,ok,False
15.0,BAT-27,458131466.65639114,1.5422856168006451,ok,False
15.0,BAT-28,458124075.9691725,1.5422856168006451,ok,False
15.0,BAT-29,458124075.9691725,1.5422856168006451,ok,False
15.0,BAT-30,458122340.6094618,1.5422856168006451,ok,False
15.0,BAT-31,458113258.05747455,1.5422856168006451,ok,False
15.0,BAT-32,458110930.9202778,1.5422856168006451,ok,False
15.6,None,424113911.6749831,1.603977041472671,ok,False
15.6,BAT-5,449161869.42000514,1.603977041472671,ok,False
15.6,BAT-10,464627142.7219178,1.603977041472671,ok,False
15.6,BAT-15,472584324.5549915,1.603977041472671,ok,False
15.6,BAT-20,473423336.0072614,1.603977041472671,ok,False
15.6,BAT-21,473423336.0072614,1.603977041472671,ok,False
15.6,BAT-22,473423336.0072614,1.603977041472671,ok,False
15.6,BAT-23,473421760.6636319,1.603977041472671,ok,False
15.6,BAT-24,473432276.34578514,1.603977041472671,ok,False
15.6,BAT-25,473430349.81549764,1.603977041472671,ok,False
15.6,BAT-26,473432016.6861721,1.603977041472671,ok,False
15.6,BAT-27,473432077.0740217,1.603977041472671,ok,False
15.6,BAT-28,473436379.1951193,1.603977041472671,ok,False
15.6,BAT-29,473434596.80148304,1.603977041472671,ok,False
15.6,BAT-30,473449129.8261317,1.603977041472671,ok,False
15.6,BAT-31,473449129.8261317,1.603977041472671,ok,False
15.6,BAT-32,473449129.82613176,1.603977041472671,ok,True
16.2,None,433060278.7151612,1.6656684661446968,ok,False
16.2,BAT-5,458169760.8827581,1.6656684661446968,ok,False
16.2,BAT-10,475489173.8511143,1.6656684661446968,ok,False
16.2,BAT-15,486447881.3389094,1.6656684661446968,ok,False
16.2,BAT-20,487738485.3379728,1.6656684661446968,ok,False
16.2,BAT-21,487738729.64314586,1.6656684661446968,ok,False
16.2,BAT-22,487738729.64314586,1.6656684661446968,ok,False
16.2,BAT-23,487741457.20770746,1.6656684661446968,ok,False
16.2,BAT-24,487733753.2741114,1.6656684661446968,ok,False
16.2,BAT-25,487727189.23545784,1.6656684661446968,ok,False
16.2,BAT-26,487734643.0272414,1.6656684661446968,ok,False
16.2,BAT-27,487733449.654745,1.6656684661446968,ok,False
16.2,BAT-28,487740875.93571156,1.6656684661446968,ok,False
16.2,BAT-29,487737761.4409847,1.6656684661446968,ok,False
16.2,BAT-30,487724220.7047355,1.6656684661446968,ok,False
16.2,BAT-31,487722680.3194421,1.6656684661446968,ok,False
16.2,BAT-32,487744118.3851384,1.6656684661446968,ok,True
16.8,None,441609360.4913843,1.7273598908167225,ok,False
16.8,BAT-5,466577846.19843775,1.7273598908167225,ok,False
16.8,BAT-10,484951431.96149457,1.7273598908167225,ok,False
16.8,BAT-15,498963259.31248736,1.7273598908167225,ok,False
16.8,BAT-20,500869203.5102691,1.7273598908167225,ok,False
16.8,BAT-21,500868309.866977,1.7273598908167225,ok,False
16.8,BAT-22,500863432.02942383,1.7273598908167225,ok,False
16.8,BAT-23,500867556.3682839,1.7273598908167225,ok,False
16.8,BAT-24,500868036.3714233,1.7273598908167225,ok,False
16.8,BAT-25,500888679.2414384,1.7273598908167225,ok,False
16.8,BAT-26,500888581.14449203,1.7273598908167225,ok,False
16.8,BAT-27,500897223.1921858,1.7273598908167225,ok,False
16.8,BAT-28,500897223.1921858,1.7273598908167225,ok,False
