scan_order,candidate_key,kWp,battery,NPV_COP,payback_years,capex_client,self_consumption_ratio,self_sufficiency_ratio,annual_import_kwh,annual_export_kwh,peak_ratio,best_battery_for_kwp
109,16.800::BAT-23,16.8,BAT-23,41831218.798758775,3.1666666666666665,68880000.0,0.9997017980012083,0.9997017980012082,7.311913010375524,1852.8816289177994,1.7273598951939209,False
105,16.800::BAT-15,16.8,BAT-15,40113548.49218057,3.1666666666666665,68880000.0,0.9810707288328411,0.9810707288328411,464.1457290187363,2360.47475781598,1.7273598951939209,False
104,16.800::BAT-10,16.8,BAT-10,34164963.84276709,3.4166666666666665,68880000.0,0.9175255846423377,0.9175255846423377,2022.2726645698808,4091.7269084283625,1.7273598951939209,False
103,16.800::BAT-5,16.8,BAT-5,28216379.193353575,3.5833333333333335,68880000.0,0.8539804404518342,0.8539804404518342,3580.3996001210253,5822.9790590407465,1.7273598951939209,False
102,16.800::None,16.8,None,20769158.518323537,3.8333333333333335,68880000.0,0.7744258209688624,0.7744258209688621,5531.078869843501,7990.400469843495,1.7273598951939209,False
123,17.400::BAT-20,17.4,BAT-20,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.3518919817943,1.7890513200222753,True
124,17.400::BAT-21,17.4,BAT-21,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.351891981795,1.7890513200222753,False
125,17.400::BAT-22,17.4,BAT-22,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.3518919817934,1.7890513200222753,False
126,17.400::BAT-23,17.4,BAT-23,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.351891981793,1.7890513200222753,False
127,17.400::BAT-24,17.4,BAT-24,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.351891981794,1.7890513200222753,False
128,17.400::BAT-25,17.4,BAT-25,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.351891981792,1.7890513200222753,False
129,17.400::BAT-26,17.4,BAT-26,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.351891981793,1.7890513200222753,False
130,17.400::BAT-27,17.4,BAT-27,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.3518919817934,1.7890513200222753,False
131,17.400::BAT-28,17.4,BAT-28,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.3518919817934,1.7890513200222753,False
132,17.400::BAT-29,17.4,BAT-29,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.3518919817934,1.7890513200222753,False
133,17.400::BAT-30,17.4,BAT-30,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.3518919817934,1.7890513200222753,False
134,17.400::BAT-31,17.4,BAT-31,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.351891981791,1.7890513200222753,False
135,17.400::BAT-32,17.4,BAT-32,40067282.920262724,3.25,71340000.0,1.0,1.0,0.0,2815.3518919817943,1.7890513200222753,False
122,17.400::BAT-15,17.4,BAT-15,38441337.039194874,3.25,71340000.0,0.9831393025132064,0.9831393025132062,413.4243023761822,3274.7122279553305,1.7890513200222753,False
121,17.400::BAT-10,17.4,BAT-10,32492752.38978136,3.5,71340000.0,0.9195941583227027,0.9195941583227029,1971.5512379273268,5005.9643785677135,1.7890513200222753,False
120,17.400::BAT-5,17.4,BAT-5,26544167.740367852,3.6666666666666665,71340000.0,0.8560490141321996,0.8560490141321994,3529.678173478471,6737.216529180096,1.7890513200222753,False
119,17.400::None,17.4,None,19123121.022406667,4.0,71340000.0,0.7770125541531888,0.7770125541531887,5467.652172163814,8890.520972163808,1.7890513200222753,False
140,18.000::BAT-20,18.0,BAT-20,38181505.70950336,3.3333333333333335,73800000.0,1.0,1.0,0.0,3785.9465028350915,1.8507427448506295,True
141,18.000::BAT-21,18.0,BAT-21,38181505.70950336,3.3333333333333335,73800000.0,1.0,1.0,0.0,3785.946502835093,1.8507427448506295,False
142,18.000::BAT-22,18.0,BAT-22,38181505.70950335,3.3333333333333335,73800000.0,1.0,1.0,0.0,3785.946502835092,1.8507427448506295,False
143,18.000::BAT-23,18.0,BAT-23,38181505.70950335,3.3333333333333335,73800000.0,1.0,1.0,0.0,3785.946502835091,1.8507427448506295,False
144,18.000::BAT-24,18.0,BAT-24,38181505.70950335,3.3333333333333335,73800000.0,1.0,1.0,0.0,3785.946502835092,1.8507427448506295,False
145,18.000::BAT-25,18.0,BAT-25,38181505.70950335,3.3333333333333335,73800000.0,1.0,1.0,0.0,3785.9465028350915,1.8507427448506295,False
146,18.000::BAT-26,18.0,BAT-26,38181505.70950335,3.3333333333333335,73800000.0,1.0,1.0,0.0,3785.9465028350905,1.8507427448506295,False
